distance,placeName,distanceNumber,hotelId
471m,Jalan Besar Swimming Complex,471,4508010
518m,Soon Kee Boneless Lor Duck Rice,518,4508010
17.7km,Singapore Changi Airport,17730,687486
23.4km,Woodlands Train Checkpoint,23370,687486
1km,Kallang,1020,687486
1km,Mountbatten,1020,687486
1.5km,Geylang,1480,687486
205m,Masjid Haji Mohd Salleh,205,687486
267m,Kang Ha Pheng Sim Kok,267,687486
356m,Fun Empire,356,687486
414m,Gymkraft,414,687486
445m,g.spa Fitness and Recreation Hub,445,687486
593m,Encounter - Real life Suspense Game,593,687486
712m,Aljunied,712,687486
840m,Sri Krishna Mandir,840,687486
876m,Singapore Sports Hub,876,687486
879m,Khadijah Mosque,879,687486
21.1km,Singapore Changi Airport,21080,687796
28.2km,Woodlands Train Checkpoint,28250,687796
380m,Downtown,380,687796
710m,Telok Ayer,710,687796
2.3km,Marina Bay,2310,687796
120m,Asia Square Tower,120,687796
197m,Renaza Hair & Nail Spa,197,687796
219m,Faber Peak,219,687796
219m,Arab Quarter,219,687796
283m,Marina Bay Singapore Countdown,283,687796
300m,NALAA,300,687796
300m,New Taj Indian Food,300,687796
304m,Lau Pa Sat,304,687796
365m,Central Business District,365,687796
369m,Singapore Momentum Sculpture,369,687796
23.8km,Singapore Changi Airport,23820,1719489
21.2km,Woodlands Train Checkpoint,21210,1719489
460m,Somerset,460,1719489
730m,Dhoby Ghaut,730,1719489
1.4km,Orchard Road,1450,1719489
162m,RN Spa,162,1719489
209m,Moshi Moshi Bollywood,209,1719489
246m,New Creation Church,246,1719489
250m,Focus Hairdressing,250,1719489
275m,Natureland Spa,275,1719489
285m,Mojo Massage Singapore,285,1719489
327m,Emerald Hill,327,1719489
380m,Alley Bar,380,1719489
381m,Absolute Slimming,381,1719489
381m,Roomraider SG,381,1719489
21km,Singapore Changi Airport,21040,1869381
20.9km,Woodlands Train Checkpoint,20890,1869381
410m,Somerset,410,1869381
600m,Dhoby Ghaut,600,1869381
1.4km,Orchard Road,1450,1869381
210m,RN Spa,210,1869381
241m,Moshi Moshi Bollywood,241,1869381
255m,Focus Hairdressing,255,1869381
284m,Natureland Spa,284,1869381
292m,Mojo Massage Singapore,292,1869381
321m,New Creation Church,321,1869381
358m,Former House of Tan Yeok Nee,358,1869381
376m,Absolute Slimming,376,1869381
376m,Roomraider SG,376,1869381
376m,Palfie Pix,376,1869381
22.9km,Singapore Changi Airport,22930,31212318
29.1km,Woodlands Train Checkpoint,29140,31212318
390m,Chinatown,390,31212318
450m,Telok Ayer,450,31212318
99m,Hi-ball Management,99,31212318
119m,Heritage Marker SB31 - Squatters & Squalor,119,31212318
149m,Homage To Newton,149,31212318
158m,Far East Square,158,31212318
162m,Yueh Hai Ching Temple,162,31212318
166m,Puay Heng Noodles,166,31212318
212m,Heading Home (Rickshaw),212,31212318
218m,Kraven,218,31212318
221m,Kulnari Mystery Golf,221,31212318
221m,Stick 'em On,221,31212318
27.7km,Singapore Changi Airport,27740,995014
31km,Woodlands Train Checkpoint,30960,995014
860m,Imbiah,860,995014
1.7km,Waterfront,1720,995014
1.3km,Sentosa Island,1310,995014
164m,Auriga Spa,164,995014
215m,So SPA,215,995014
380m,Amara Sanctuary Resort Sentosa - Couple Suite with Pool Access,380,995014
408m,Palawan Beach,408,995014
414m,Spa Luna,414,995014
450m,HydroDash,450,995014
471m,Universal Studios Singapore,471,995014
489m,Floating Bridge at Siloso Beach,489,995014
494m,WaterWorld,494,995014
516m,Palawan Island,516,995014
27.6km,Singapore Changi Airport,27580,994990
30.8km,Woodlands Train Checkpoint,30810,994990
710m,Imbiah,710,994990
1.8km,Waterfront,1750,994990
1.8km,Sentosa Island,1790,994990
188m,Amara Sanctuary Resort Sentosa - Couple Suite with Pool Access,188,994990
196m,Spa Luna,196,994990
216m,Universal Studios Singapore,216,994990
230m,WaterWorld,230,994990
296m,Auriga Spa,296,994990
312m,Universal Studio Singapore,312,994990
378m,HydroDash,378,994990
414m,Madagascar: A Crate Adventure,414,994990
421m,Resorts World Sentosa,421,994990
431m,KidZania,431,994990
27.3km,Singapore Changi Airport,27340,37412391
30.6km,Woodlands Train Checkpoint,30570,37412391
470m,Imbiah,470,37412391
1.5km,Waterfront,1540,37412391
1.4km,Sentosa Island,1410,37412391
50m,Universal Studio Singapore,50,37412391
166m,WaterWorld,166,37412391
179m,Spa Luna,179,37412391
192m,Resorts World Sentosa,192,37412391
199m,Universal Studios Singapore,199,37412391
223m,Amara Sanctuary Resort Sentosa - Couple Suite with Pool Access,223,37412391
271m,Madagascar: A Crate Adventure,271,37412391
275m,Victor Tan Wire Sculpture,275,37412391
291m,Mosh!,291,37412391
291m,KidZania,291,37412391
28.5km,Singapore Changi Airport,28450,687728
31.7km,Woodlands Train Checkpoint,31660,687728
1.4km,Sentosa Island,1370,687728
83m,Singapore Leisure Boats,83,687728
141m,White Sails Yacht Pte Ltd,141,687728
154m,ONE°15 Marina Club,154,687728
158m,WOOBAR,158,687728
161m,BOB Marine Yacht Charters Singapore,161,687728
181m,Sentosa Cove,181,687728
202m,Away Spa,202,687728
745m,Southernmost point of Asia,745,687728
1.2km,Sentosa,1209,687728
1.2km,Battlestar Galactica,1209,687728
27.1km,Singapore Changi Airport,27060,68057612
30.3km,Woodlands Train Checkpoint,30280,68057612
130m,Imbiah,130,68057612
1.2km,Waterfront,1230,68057612
1.6km,Sentosa Island,1620,68057612
92m,Universal Studio Singapore,92,68057612
186m,Resorts World Sentosa,186,68057612
206m,Festive Walk,206,68057612
241m,Mosh!,241,68057612
244m,KidZania,244,68057612
257m,Lake of Dreams,257,68057612
262m,Spa Luna,262,68057612
268m,Victor Tan Wire Sculpture,268,68057612
285m,Mega Bounce & Crazy Bounce,285,68057612
288m,WaterWorld,288,68057612
26.4km,Singapore Changi Airport,26400,996052
30.4km,Woodlands Train Checkpoint,30370,996052
110m,Waterfront,110,996052
110m,Beach,110,996052
5.1km,Sentosa Island,5090,996052
17m,Madagascar: A Crate Adventure,17,996052
109m,Oasia Spa,109,996052
139m,Victor Tan Wire Sculpture,139,996052
145m,Trick Eye Museum,145,996052
169m,Resorts World Sentosa,169,996052
174m,K-live Sentosa,174,996052
179m,Mega Bounce & Crazy Bounce,179,996052
194m,WaterWorld,194,996052
209m,Universal Studios Singapore,209,996052
249m,Crane Dance at Resort World Sentosa,249,996052
26.9km,Singapore Changi Airport,26920,996049
30.1km,Woodlands Train Checkpoint,30140,996049
130m,Waterfront,130,996049
130m,Beach,130,996049
5.6km,Sentosa Island,5570,996049
25m,Resorts World Sentosa,25,996049
72m,Victor Tan Wire Sculpture,72,996049
97m,Mega Bounce & Crazy Bounce,97,996049
162m,Madagascar: A Crate Adventure,162,996049
167m,Lake of Dreams,167,996049
169m,K-Live Holographic Laser Projection,169,996049
182m,Festive Walk,182,996049
184m,Universal Studio Singapore,184,996049
201m,K-live Sentosa,201,996049
209m,Trick Eye Museum,209,996049
29.1km,Singapore Changi Airport,29130,996340
32.1km,Woodlands Train Checkpoint,32130,996340
1.9km,Sentosa Island,1880,996340
142m,Away Spa,142,996340
179m,WOOBAR,179,996340
387m,Sentosa Cove,387,996340
411m,Singapore Leisure Boats,411,996340
469m,BOB Marine Yacht Charters Singapore,469,996340
469m,White Sails Yacht Pte Ltd,469,996340
485m,ONE°15 Marina Club,485,996340
1km,Southernmost point of Asia,1032,996340
1.5km,Sentosa,1511,996340
1.5km,Battlestar Galactica,1511,996340
27.3km,Singapore Changi Airport,27330,996053
30.6km,Woodlands Train Checkpoint,30570,996053
630m,Waterfront,630,996053
630m,Beach,630,996053
2.1km,Sentosa Island,2060,996053
61m,Adventure Cove Waterpark,61,996053
83m,S.E.A. Aquarium,83,996053
105m,Crane Dance at Resort World Sentosa,105,996053
160m,K-live Sentosa,160,996053
169m,K-Live Holographic Laser Projection,169,996053
171m,Royal Albatross,171,996053
197m,Trick Eye Museum,197,996053
204m,Mega Bounce & Crazy Bounce,204,996053
240m,Lake of Dreams,240,996053
246m,Victor Tan Wire Sculpture,246,996053
27.6km,Singapore Changi Airport,27590,996320
30.8km,Woodlands Train Checkpoint,30810,996320
1.8km,Imbiah,1770,996320
2.3km,Waterfront,2300,996320
980m,Sentosa Island,980,996320
191m,Herb & Spice Garden,191,996320
200m,Sentosa Golf Club,200,996320
433m,Yoga Course Of Tanjong Beach Of Sentosa,433,996320
433m,Tanjong Beach,433,996320
440m,Sentosa,440,996320
440m,Battlestar Galactica,440,996320
448m,So SPA,448,996320
694m,Auriga Spa,694,996320
805m,Palawan Beach,805,996320
870m,Palawan Island,870,996320
27.2km,Singapore Changi Airport,27160,25469473
30.4km,Woodlands Train Checkpoint,30370,25469473
270m,Imbiah,270,25469473
1.3km,Waterfront,1330,25469473
1.6km,Sentosa Island,1550,25469473
76m,Universal Studio Singapore,76,25469473
153m,Spa Luna,153,25469473
198m,Amara Sanctuary Resort Sentosa - Couple Suite with Pool Access,198,25469473
214m,Mosh!,214,25469473
214m,KidZania,214,25469473
239m,Resorts World Sentosa,239,25469473
242m,WaterWorld,242,25469473
272m,Universal Studios Singapore,272,25469473
314m,Festive Walk,314,25469473
326m,Victor Tan Wire Sculpture,326,25469473
19.1km,Singapore Changi Airport,19120,996058
26km,Woodlands Train Checkpoint,26010,996058
560m,Lavender,560,996058
610m,Bugis,610,996058
910m,Bugis,910,996058
109m,Malabar Mosque,109,996058
113m,MAM Holidays Singapore,113,996058
114m,Alsagoff Arab School,114,996058
164m,Green Apple Spa,164,996058
180m,Xi Yuan Foot Spa,180,996058
192m,Sultan's Gate,192,996058
205m,Malay Heritage Centre,205,996058
269m,The Gem Museum,269,996058
300m,Hajjah Fatimah Mosque,300,996058
303m,Children Little Museum,303,996058
18.9km,Singapore Changi Airport,18890,998539
26.6km,Woodlands Train Checkpoint,26650,998539
350m,Bugis,350,998539
760m,Esplanade,760,998539
790m,Bugis,790,998539
201m,DrSpa,201,998539
226m,Parkview Square,226,998539
260m,GOURMETbus,260,998539
260m,Dream Drive Pte Ltd,260,998539
260m,Cool de Sac Play Centre,260,998539
260m,Singapore Trolley,260,998539
260m,Live Life Detour,260,998539
260m,Calla Spa,260,998539
271m,Haji Lane,271,998539
282m,Spa Club At Beach Road,282,998539
20.7km,Singapore Changi Airport,20740,687595
21.2km,Woodlands Train Checkpoint,21240,687595
670m,Fort Canning MRT,670,687595
680m,Dhoby Ghaut,680,687595
4.1km,Orchard Road,4100,687595
66m,Singapore Dance Theatre,66,687595
85m,Battlebox Museum Singapore,85,687595
122m,Wesley Methodist Church,122,687595
127m,Fort Canning Lighthouse,127,687595
140m,Singapore Night Festival,140,687595
143m,Orchard Road Presbyterian Church,143,687595
151m,Fort Canning Sculpture Trail,151,687595
159m,Pinacothèque de Paris,159,687595
168m,Piece of Peace,168,687595
175m,Chinois Spa,175,687595
28.5km,Singapore Changi Airport,28450,996300
31.7km,Woodlands Train Checkpoint,31680,996300
1.4km,Imbiah,1450,996300
3.2km,Waterfront,3170,996300
3.2km,Sentosa Island,3170,996300
61m,HeadRock VR,61,996300
61m,Resort world Sentosa - trickeye musuem,61,996300
183m,"Shangri-La's Rasa Sentosa Resort & Spa, Singapore",183,996300
233m,Nestopia,233,996300
255m,Siloso Beach,255,996300
294m,Mega Adventure Park,294,996300
430m,Imbiah,430,996300
495m,AJ Hackett Sentosa,495,996300
540m,Wave House Sentosa,540,996300
577m,Keppel Bay Sailing Academy,577,996300
23.4km,Singapore Changi Airport,23410,995053
19.9km,Woodlands Train Checkpoint,19870,995053
930m,Newton,930,995053
1km,Orchard,1040,995053
300m,Orchard Road,300,995053
157m,Zhao Wei Films,157,995053
175m,SK-II Boutique Spa,175,995053
210m,Spa Rael Goodwood Park Hotel,210,995053
266m,EGT Scooter,266,995053
349m,Sense De Belle,349,995053
356m,Padma Spa,356,995053
367m,Chocosan foot reflexology,367,995053
383m,The American Club Singapore,383,995053
423m,BRIX,423,995053
430m,My Cozy Room Boutique Spa,430,995053
25.6km,Singapore Changi Airport,25580,928186
19.4km,Woodlands Train Checkpoint,19370,928186
550m,Orchard,550,928186
1.4km,Somerset,1390,928186
900m,Orchard Road,900,928186
19m,Wellaholic (Clarke Quay Outlet),19,928186
94m,YANG Gallery,94,928186
97m,Pop And Contemporary Fine Art,97,928186
111m,Footworks Reflexology,111,928186
118m,Pulse TCM Clinic & Foot Reflexology,118,928186
118m,Jurlique Day Spa,118,928186
118m,SkinLab the Medical Spa,118,928186
148m,Shaw Concessions,148,928186
171m,Singapore Sidecars,171,928186
172m,Four Seasons Spa,172,928186
23km,Singapore Changi Airport,23010,49354410
29.9km,Woodlands Train Checkpoint,29880,49354410
510m,Tanjong Pagar,510,49354410
870m,Telok Ayer,870,49354410
510m,Chinatown,510,49354410
86m,Singapore City Gallery,86,49354410
86m,Becoming Singapore's Urban Planner,86,49354410
109m,Nasi Padang Sederhana,109,49354410
130m,Siang Cho Keong Temple,130,49354410
153m,Beauty Empire,153,49354410
167m,Telok Ayer Chinese Methodist Church,167,49354410
198m,Ann Siang Hill Park,198,49354410
204m,Truefitt & Hill,204,49354410
211m,Al-Abrar Mosque,211,49354410
238m,Jinrikisha Station,238,49354410
19.7km,Singapore Changi Airport,19740,1684292
20.9km,Woodlands Train Checkpoint,20870,1684292
390m,Rochor,390,1684292
440m,Bencoolen MRT,440,1684292
320m,Bugis,320,1684292
101m,Albert Mall,101,1684292
112m,Rochor Canal,112,1684292
162m,Kuan Im Thong Hood Cho Temple,162,1684292
171m,Guanyin Hall in Sima Road,171,1684292
192m,Sri Krishnan Temple,192,1684292
196m,Kelyn Esther,196,1684292
228m,Xcape Singapore,228,1684292
252m,Healthfit Massage Therapy,252,1684292
252m,Our Lady of Lourdes Church,252,1684292
262m,Masjid Abdul Gafoor,262,1684292
20.8km,Singapore Changi Airport,20830,687494
20.3km,Woodlands Train Checkpoint,20270,687494
460m,Rochor,460,687494
480m,Little India,480,687494
810m,Bugis,810,687494
139m,Grandeur Lights Of Deepavali,139,687494
158m,The White Spa,158,687494
198m,Campbell Lane,198,687494
207m,The Music Salon,207,687494
213m,Indian Heritage Centre,213,687494
216m,Deepavali Festival Village,216,687494
241m,KS 5,241,687494
251m,Prinsep Street Presbyterian Church,251,687494
260m,Tools of Old Singapore,260,687494
281m,Masjid Abdul Gafoor,281,687494
19.9km,Singapore Changi Airport,19920,1359681
21.4km,Woodlands Train Checkpoint,21360,1359681
520m,Jalan Besar MRT,520,1359681
620m,Farrer Park,620,1359681
54m,Jalan Besar Swimming Complex,54,1359681
99m,Soon Kee Boneless Lor Duck Rice,99,1359681
118m,Jalan Besar Stadium,118,1359681
185m,Putian Tiandao Church,185,1359681
262m,Thekchen Choling,262,1359681
309m,Airzone,309,1359681
328m,Petain Road,328,1359681
347m,UOB ATM - City Square Mall,347,1359681
395m,Wellaholic (Lavender Outlet),395,1359681
408m,Post-Museum,408,1359681
19.7km,Singapore Changi Airport,19720,77698028
21km,Woodlands Train Checkpoint,20960,77698028
360m,Rochor,360,77698028
400m,Jalan Besar MRT,400,77698028
850m,Little India,850,77698028
41m,Singapore Footprints,41,77698028
51m,Church of True Light,51,77698028
128m,Abdul Gaffoor Mosque,128,77698028
135m,Tools of Old Singapore,135,77698028
135m,Masjid Abdul Gafoor,135,77698028
177m,Kampong Kapor Methodist Church,177,77698028
234m,Indian Heritage Centre,234,77698028
237m,Campbell Lane,237,77698028
241m,Amrita Ayurveda and Yoga,241,77698028
304m,Little India,304,77698028
21.4km,Singapore Changi Airport,21350,687463
21.8km,Woodlands Train Checkpoint,21780,687463
440m,Fort Canning MRT,440,687463
900m,Clarke Quay,900,687463
730m,Robertson Quay,730,687463
740m,Singapore River,740,687463
152m,Party World Clementi KTV,152,687463
161m,Singapore Repertory Theatre,161,687463
172m,Van Kleef Aquarium,172,687463
191m,Singapore Round Cruise Water B,191,687463
198m,Aegle TCM Clinique,198,687463
239m,Holey Moley Golf Club,239,687463
241m,Chettiar Temple,241,687463
252m,Culinaryon,252,687463
269m,Keramat Sultan Iskandar Shah,269,687463
270m,Highlander,270,687463
16.4km,Singapore Changi Airport,16360,80508014
17.3km,Woodlands Train Checkpoint,17320,80508014
10m,Farrer Park,10,80508014
780m,Jalan Besar MRT,780,80508014
260m,Little India,260,80508014
50m,Thaipusam Festival,50,80508014
52m,Sri Srinivasa Perumal Temple,52,80508014
181m,Airzone,181,80508014
186m,UOB ATM - City Square Mall,186,80508014
193m,Petain Road,193,80508014
216m,Farrer Park,216,80508014
248m,Sakya Muni Buddha Gaya Temple,248,80508014
252m,Kinetics Climbing Gym,252,80508014
271m,Leong San See Temple,271,80508014
352m,Sri Vadapathira Kaliamman Temple,352,80508014
16.6km,Singapore Changi Airport,16570,687808
24.8km,Woodlands Train Checkpoint,24760,687808
470m,Paya Lebar,470,687808
1.1km,Dakota,1120,687808
1.6km,Geylang,1600,687808
107m,City Plaza,107,687808
234m,Tanjong Katong Complex,234,687808
406m,Singapore Pools,406,687808
462m,Chin Lien Bible Seminary,462,687808
552m,Foo Hai Ch'an Monastery,552,687808
557m,Sri Shivan Temple,557,687808
610m,Tan Swie Hian Museum,610,687808
674m,Geylang Serai,674,687808
692m,Tick Tack Toe Foot Spa,692,687808
712m,Khadijah Mosque,712,687808
14.3km,Singapore Changi Airport,14340,687509
26km,Woodlands Train Checkpoint,26010,687509
1.3km,Paya Lebar,1320,687509
1.5km,Eunos,1500,687509
1.1km,East Coast,1070,687509
62m,"Guanyin Temple, Joo Chiat",62,687509
132m,Boo-Ti Parlour,132,687509
154m,Samsara Wellness,154,687509
183m,Singapore Joo Chiat Food Walk,183,687509
224m,The Intan,224,687509
318m,Peranakan Houses,318,687509
324m,Peranakan Trail,324,687509
332m,Koon Seng Road,332,687509
393m,Eurasian Heritage Gallery,393,687509
433m,Changi Life Style Pte Ltd,433,687509
18.1km,Singapore Changi Airport,18130,687633
23.8km,Woodlands Train Checkpoint,23770,687633
650m,Aljunied,650,687633
1.2km,Dakota,1250,687633
1km,Geylang,1030,687633
151m,Encounter - Real life Suspense Game,151,687633
236m,g.spa Fitness and Recreation Hub,236,687633
301m,Gymkraft,301,687633
400m,Kang Ha Pheng Sim Kok,400,687633
408m,Sri Krishna Mandir,408,687633
437m,Aljunied,437,687633
438m,Khadijah Mosque,438,687633
450m,Tick Tack Toe Foot Spa,450,687633
601m,Tan Swie Hian Museum,601,687633
602m,Zhen Man Fruit Juice,602,687633
16.9km,Singapore Changi Airport,16900,687497
23.7km,Woodlands Train Checkpoint,23710,687497
750m,Aljunied,750,687497
1.2km,Mountbatten,1240,687497
1.1km,Geylang,1130,687497
194m,g.spa Fitness and Recreation Hub,194,687497
216m,Encounter - Real life Suspense Game,216,687497
248m,Gymkraft,248,687497
379m,Kang Ha Pheng Sim Kok,379,687497
474m,Sri Krishna Mandir,474,687497
489m,Aljunied,489,687497
502m,Khadijah Mosque,502,687497
511m,Tick Tack Toe Foot Spa,511,687497
579m,Masjid Haji Mohd Salleh,579,687497
601m,Zhen Man Fruit Juice,601,687497
17.8km,Singapore Changi Airport,17790,71906273
23.4km,Woodlands Train Checkpoint,23420,71906273
790m,Aljunied,790,71906273
970m,Kallang,970,71906273
1.2km,Geylang,1150,71906273
45m,Kang Ha Pheng Sim Kok,45,71906273
325m,Masjid Haji Mohd Salleh,325,71906273
474m,Encounter - Real life Suspense Game,474,71906273
487m,g.spa Fitness and Recreation Hub,487,71906273
487m,Aljunied,487,71906273
497m,Gymkraft,497,71906273
598m,Fun Empire,598,71906273
685m,Sri Krishna Mandir,685,71906273
735m,Khadijah Mosque,735,71906273
764m,Tick Tack Toe Foot Spa,764,71906273
27.5km,Singapore Changi Airport,27520,996048
30.8km,Woodlands Train Checkpoint,30760,996048
630m,Imbiah,630,996048
1.1km,Waterfront,1080,996048
2.2km,Sentosa Island,2250,996048
136m,Adventure Cove Waterpark,136,996048
157m,Dolphin Island,157,996048
183m,Ray Bay,183,996048
206m,Resorts World Theater,206,996048
221m,Sentosa Nature Discovery,221,996048
240m,Royal Albatross,240,996048
271m,S.E.A. Aquarium,271,996048
282m,Adventure Cove Waterpark,282,996048
289m,Butterfly Park & Insect Kingdom,289,996048
295m,SkyHelix Sentosa,295,996048
23.1km,Singapore Changi Airport,23150,996302
21.5km,Woodlands Train Checkpoint,21460,996302
590m,Imbiah,590,996302
730m,Waterfront,730,996302
1.9km,Sentosa Island,1900,996302
67m,Cine Blast,67,996302
67m,Sentosa 4D Magix,67,996302
129m,Butterfly Park & Insect Kingdom,129,996302
130m,Sentosa 4D AdventureLand,130,996302
156m,Imbiah,156,996302
176m,Sentosa Nature Discovery,176,996302
225m,SkyHelix Sentosa,225,996302
237m,Tiger Sky Tower,237,996302
259m,AJ Hackett Sentosa,259,996302
284m,Wave House Sentosa,284,996302
20.4km,Singapore Changi Airport,20440,4439330
24.7km,Woodlands Train Checkpoint,24710,4439330
400m,Bendemeer MRT,400,4439330
670m,Lavender,670,4439330
580m,Lavender,580,4439330
175m,Boulder+,175,4439330
208m,Wellaholic (Lavender Outlet),208,4439330
300m,Thekchen Choling,300,4439330
333m,Jalan Besar Stadium,333,4439330
379m,Soon Kee Boneless Lor Duck Rice,379,4439330
394m,Jalan Besar Swimming Complex,394,4439330
403m,Sushi Bee,403,4439330
437m,Sri Manmatha Karuneshvarar Temple,437,4439330
587m,Petain Road,587,4439330
595m,Putian Tiandao Church,595,4439330
20.2km,Singapore Changi Airport,20220,49529767
24.5km,Woodlands Train Checkpoint,24520,49529767
510m,Lavender,510,49529767
660m,Bendemeer MRT,660,49529767
370m,Lavender,370,49529767
50m,Boulder+,50,49529767
122m,Wellaholic (Lavender Outlet),122,49529767
274m,Sri Manmatha Karuneshvarar Temple,274,49529767
283m,Sushi Bee,283,49529767
384m,Jalan Besar Stadium,384,49529767
412m,Soon Kee Boneless Lor Duck Rice,412,49529767
439m,Thekchen Choling,439,49529767
457m,Jalan Besar Swimming Complex,457,49529767
608m,Putian Tiandao Church,608,49529767
620m,Malabar Mosque,620,49529767
20.6km,Singapore Changi Airport,20580,10031649
24.7km,Woodlands Train Checkpoint,24720,10031649
300m,Bendemeer MRT,300,10031649
690m,Lavender,690,10031649
680m,Lavender,680,10031649
235m,Boulder+,235,10031649
275m,Wellaholic (Lavender Outlet),275,10031649
281m,Thekchen Choling,281,10031649
360m,Jalan Besar Stadium,360,10031649
410m,Soon Kee Boneless Lor Duck Rice,410,10031649
411m,Jalan Besar Swimming Complex,411,10031649
469m,Sushi Bee,469,10031649
494m,Sri Manmatha Karuneshvarar Temple,494,10031649
565m,Petain Road,565,10031649
626m,Putian Tiandao Church,626,10031649
20.6km,Singapore Changi Airport,20640,1172034
23.1km,Woodlands Train Checkpoint,23060,1172034
450m,Bendemeer MRT,450,1172034
840m,Lavender,840,1172034
690m,Lavender,690,1172034
170m,Thekchen Choling,170,1172034
312m,Jalan Besar Stadium,312,1172034
336m,Wellaholic (Lavender Outlet),336,1172034
345m,Jalan Besar Swimming Complex,345,1172034
346m,Boulder+,346,1172034
366m,Soon Kee Boneless Lor Duck Rice,366,1172034
445m,Petain Road,445,1172034
517m,Sushi Bee,517,1172034
533m,Sri Vadapathira Kaliamman Temple,533,1172034
557m,Airzone,557,1172034
31.9km,Singapore Changi Airport,31860,995029
21.4km,Woodlands Train Checkpoint,21360,995029
2.5km,Kent Ridge,2530,995029
3.4km,Haw Par Villa,3360,995029
6.9km,West Coast,6920,995029
191m,Pasir Panjang,191,995029
408m,West Coast Park,408,995029
824m,National University of Singapore,824,995029
921m,Yusof Ishak House,921,995029
961m,NUS Museum,961,995029
1km,Lee Kong Chian Natural History Museum,1021,995029
1.1km,Yong Siew Toh Conservatory of Music,1075,995029
1.2km,E-Waves Fishbyte Pte Ltd,1249,995029
1.6km,Medway Park,1598,995029
1.7km,Haw Par Villa (Tiger Balm Gardens),1722,995029
30.5km,Singapore Changi Airport,30490,22120926
23.5km,Woodlands Train Checkpoint,23490,22120926
970m,Haw Par Villa,970,22120926
2km,Pasir Panjang,1970,22120926
7.6km,West Coast,7620,22120926
287m,Food Prowlers,287,22120926
480m,Kent Ridge Park,480,22120926
663m,Haw Par Villa (Tiger Balm Gardens),663,22120926
729m,Reflections at Bukit Chandu,729,22120926
1km,Himapan Studio,1035,22120926
1km,Lloyd Marine Yacht Charters,1037,22120926
1.3km,Brass Lion Distillery,1257,22120926
1.3km,Hort Park,1264,22120926
1.6km,Alexandra Arch,1607,22120926
1.6km,EsBoudoir - ARC,1648,22120926
25.9km,Singapore Changi Airport,25940,1352960
29.2km,Woodlands Train Checkpoint,29160,1352960
600m,Telok Blangah,600,1352960
1.1km,HarbourFront,1130,1352960
2.4km,Harbourfront,2400,1352960
319m,Danish Seamen's Church,319,1352960
331m,Keppel Hill Reservoir,331,1352960
439m,Mount Faber Park,439,1352960
465m,Singapore Cable Car,465,1352960
477m,the Ridges,477,1352960
517m,Ban Siew San Temple,517,1352960
611m,Henderson Waves,611,1352960
680m,Al-Amin Mosque,680,1352960
754m,Imbiah Lookout,754,1352960
791m,Green Roof,791,1352960
19.6km,Singapore Changi Airport,19560,91843643
19km,Woodlands Train Checkpoint,19020,91843643
750m,Outram Park,750,91843643
880m,Tiong Bahru,880,91843643
690m,Singapore River,690,91843643
247m,Waka Waka,247,91843643
297m,Tiong Bahru Estate,297,91843643
360m,Seng Poh Garden & Dancing Girl Sculpture,360,91843643
433m,Pearl's Hill City Park,433,91843643
447m,Nimble/Knead,447,91843643
484m,Pasar and the Fortune Teller,484,91843643
534m,Eu Chin Street,534,91843643
621m,College of Medicine Building,621,91843643
627m,Tiong Bahru Air Raid Shelter,627,91843643
632m,Black Crow Taxidermy & Art,632,91843643
23.7km,Singapore Changi Airport,23670,7005076
29.8km,Woodlands Train Checkpoint,29840,7005076
580m,Chinatown,580,7005076
740m,Telok Ayer,740,7005076
630m,Chinatown,630,7005076
14m,Chinatown Singapore,14,7005076
38m,"Chinese Opera Teahouse, Chinese Theatre Circle",38,7005076
46m,Buddha Tooth Relic Temple,46,7005076
69m,Chinatown Mid-Autumn Festival Light-Up and Celebrations,69,7005076
69m,Sago Street (Street Of The Dead),69,7005076
73m,Afond Boutique Spa,73,7005076
79m,Healthland Thai Massage,79,7005076
86m,One One Reflexology & Healthcare Center,86,7005076
129m,Kreta Ayer Square,129,7005076
130m,Truefitt & Hill,130,7005076
23.8km,Singapore Changi Airport,23820,76519504
29.4km,Woodlands Train Checkpoint,29370,76519504
360m,Chinatown,360,76519504
680m,Telok Ayer,680,76519504
820m,Chinatown,820,76519504
8m,Jamae Mosque,8,76519504
53m,Mohamed Ali Lane,53,76519504
56m,Sri Mariamman Temple,56,76519504
65m,Orient Health Management,65,76519504
99m,Singapore Coins And Notes Museum,99,76519504
107m,Healthland Thai Massage,107,76519504
108m,NIWADO (TCM) WELLNESS,108,76519504
120m,Chinatown Heritage Centre,120,76519504
124m,Afond Boutique Spa,124,76519504
128m,Heading Home (Rickshaw),128,76519504
16.6km,Singapore Changi Airport,16600,2510063
26km,Woodlands Train Checkpoint,25980,2510063
690m,Aljunied,690,2510063
980m,Dakota,980,2510063
1.2km,Geylang,1250,2510063
105m,Encounter - Real life Suspense Game,105,2510063
272m,g.spa Fitness and Recreation Hub,272,2510063
310m,Sri Krishna Mandir,310,2510063
315m,Tick Tack Toe Foot Spa,315,2510063
319m,Khadijah Mosque,319,2510063
353m,Gymkraft,353,2510063
481m,Aljunied,481,2510063
489m,Zhen Man Fruit Juice,489,2510063
502m,Tan Swie Hian Museum,502,2510063
562m,Kang Ha Pheng Sim Kok,562,2510063
18.1km,Singapore Changi Airport,18120,687580
23.8km,Woodlands Train Checkpoint,23750,687580
700m,Aljunied,700,687580
1.1km,Mountbatten,1100,687580
